Record of best models on the way.
The best model is achieved at epoch-1: loss0.200077.
The best model is achieved at epoch-2: loss0.199622.
The best model is achieved at epoch-3: loss0.199168.
The best model is achieved at epoch-4: loss0.198706.
The best model is achieved at epoch-5: loss0.198236.
The best model is achieved at epoch-6: loss0.197802.
The best model is achieved at epoch-7: loss0.197388.
The best model is achieved at epoch-8: loss0.196983.
The best model is achieved at epoch-9: loss0.196574.
The best model is achieved at epoch-10: loss0.196179.
The best model is achieved at epoch-11: loss0.195793.
The best model is achieved at epoch-12: loss0.195417.
The best model is achieved at epoch-13: loss0.195045.
The best model is achieved at epoch-14: loss0.194703.
The best model is achieved at epoch-15: loss0.194336.
